price_per_night,room_type,person_capacity,bedrooms,city,day_type,price_per_person,host_is_superhost,host_type,guest_satisfaction_overall,cleanliness_rating,distance_to_center_km,distance_to_metro_km,attraction_index_normalized,restaurant_index_normalized,longitude,latitude,location_category,is_price_outlier,scraped_property_type,scraped_reviews,scraped_rating
135.3512547,Entire home/apt,3,1,london,weekday,45.11708491,FALSE,semi_professional,100,9,7.987749352,1.651221137,10.5741231,5.741184815,-0.02703,51.54332,outskirts,FALSE,"Entire rental unit in Greater London, United Kingdom",39,4.85
147.2282979,Entire home/apt,5,1,london,weekday,29.44565959,FALSE,Professional,93,9,7.456084264,0.593015065,12.47348144,6.767652685,-0.02129,51.49855,outskirts,FALSE,"Entire condo in Greater London, United Kingdom",5,5
320.9153555,Entire home/apt,6,2,london,weekend,53.48589258,FALSE,Professional,100,10,1.314594698,0.451426573,45.4578668,20.62478499,-0.10887,51.50626,near_center,FALSE,"Entire rental unit in Greater London, United Kingdom",3,5
132.8817705,Entire home/apt,3,0,london,weekday,44.2939235,FALSE,individual,96,10,4.880109439,1.092523167,17.25443342,9.520814861,-0.17925,51.47865,suburban,FALSE,"Entire home in Greater London, United Kingdom",,4.68
345.2574143,Entire home/apt,6,3,london,weekday,57.54290239,FALSE,Professional,100,9,2.272320132,0.280453334,36.86411321,25.15756973,-0.15351,51.52073,near_center,FALSE,"Entire rental unit in Greater London, United Kingdom",14,4.86
291.8491938,Private room,2,1,paris,weekday,145.9245969,FALSE,Professional,100,10,1.817873982,0.084649114,43.36891443,68.84523965,2.33078,48.86414,near_center,FALSE,"Entire rental unit in Paris, France",106,4.87
307.1115668,Entire home/apt,6,3,paris,weekday,51.18526113,FALSE,individual,89,9,5.225455455,0.30125723,12.89534526,32.0717756,2.299,48.88743,outskirts,FALSE,"Entire rental unit in Paris, France",4,4.75
255.0330879,Entire home/apt,4,2,paris,weekend,63.75827197,FALSE,Professional,80,9,3.373671584,0.161923257,19.96513783,47.57708776,2.33487,48.88453,suburban,FALSE,"Entire rental unit in Paris, France",11,4.64
129.9049306,Entire home/apt,2,1,paris,weekend,64.95246528,FALSE,individual,87,9,4.459312685,0.385624945,13.13349547,27.23784333,2.33262,48.89442,suburban,FALSE,"Entire rental unit in Paris, France",6,4.83
150.6431168,Entire home/apt,4,1,paris,weekend,37.6607792,FALSE,individual,95,10,3.879151272,0.249755136,9.292859755,21.1999074,2.39057,48.88096,suburban,FALSE,"Entire home in Paris, France",44,4.73
146.9384892,Entire home/apt,3,1,rome,weekend,48.97949641,TRUE,semi_professional,99,10,2.684309267,1.354623026,18.67986707,52.71103607,12.47,41.899,near_center,FALSE,"Entire rental unit in Rome, Italy",4,5
101.2320857,Entire home/apt,4,2,rome,weekend,25.30802142,TRUE,individual,100,10,4.851938602,0.512565145,4.864351507,12.72393103,12.48132,41.86009,suburban,FALSE,"Private room in rental unit in Rome, Italy",6,4.83
97.6083043,Entire home/apt,4,1,rome,weekend,24.40207608,FALSE,Professional,93,10,0.860933188,0.109970643,17.15636889,33.37755761,12.49473,41.89553,city_center,FALSE,"Entire condo in Rome, Italy",597,4.88
58.33119024,Private room,2,1,rome,weekend,29.16559512,TRUE,semi_professional,97,10,3.83319366,0.259547201,4.102222512,12.30187916,12.52824,41.87235,suburban,FALSE,"Entire rental unit in Rome, Italy",33,4.97
35.77022888,Private room,2,1,rome,weekday,17.88511444,FALSE,semi_professional,95,10,3.33992248,0.31297992,4.516185511,12.93311797,12.52605,41.87663,suburban,FALSE,"Entire rental unit in Rome, Italy",,
120.608653,Entire home/apt,3,1,vienna,weekday,40.20288432,TRUE,Professional,90,9,1.882167641,0.562911055,12.02917233,4.681331716,16.3762,48.19168,near_center,FALSE,"Entire rental unit in Vienna, Austria",68,4.96
109.0386368,Entire home/apt,3,1,vienna,weekday,36.34621228,FALSE,individual,92,9,2.931337722,0.211241024,5.66862759,3.008732257,16.35514,48.23181,near_center,FALSE,"Entire rental unit in Vienna, Austria",110,4.86
89.87214548,Entire home/apt,2,0,vienna,weekday,44.93607274,FALSE,semi_professional,89,10,2.028286662,0.512090446,9.939185307,4.918688252,16.36562,48.19109,near_center,FALSE,"Entire rental unit in Vienna, Austria",101,4.99
70.82252296,Private room,2,1,vienna,weekend,35.41126148,TRUE,individual,97,10,2.251771705,0.456428322,8.558474524,3.740136516,16.39897,48.21967,near_center,FALSE,"Entire rental unit in Vienna, Austria",,
